task_id,rmse,dataset,model,accuracy,rmse_rank,accuracy_rank
131.0,11.055446096991657,school,MTB,,3.0,
132.0,9.241179061241244,school,MTB,,3.0,
133.0,8.044376706579289,school,MTB,,3.0,
134.0,12.51630461613224,school,MTB,,1.0,
135.0,9.505610876317448,school,MTB,,1.0,
136.0,8.647549112028207,school,MTB,,2.0,
137.0,10.78844801097572,school,MTB,,1.0,
138.0,6.747064746732533,school,MTB,,1.0,
0.0,1.8576214251743333,computer,MTB,,2.0,
1.0,1.1741966590805923,computer,MTB,,2.0,
2.0,2.380377573161211,computer,MTB,,2.0,
3.0,4.98387669489887,computer,MTB,,3.0,
4.0,2.532257775570038,computer,MTB,,3.0,
5.0,1.2621875332625496,computer,MTB,,3.0,
6.0,2.261442303011198,computer,MTB,,2.0,
7.0,1.2537603565947408,computer,MTB,,3.0,
8.0,2.9945778882636653,computer,MTB,,2.0,
9.0,1.7746883729664338,computer,MTB,,2.0,
10.0,2.292657108600532,computer,MTB,,2.0,
11.0,0.825817476159096,computer,MTB,,1.0,
12.0,3.2582727442635036,computer,MTB,,2.0,
13.0,1.9556566029099807,computer,MTB,,2.0,
14.0,1.4783705641641571,computer,MTB,,2.0,
15.0,1.443640611735794,computer,MTB,,3.0,
16.0,2.1018949746166733,computer,MTB,,3.0,
17.0,1.1621906090735774,computer,MTB,,2.0,
18.0,1.6150072057513682,computer,MTB,,3.0,
19.0,1.1279672756401746,computer,MTB,,2.0,
20.0,1.631125240854508,computer,MTB,,3.0,
21.0,2.3315799034589353,computer,MTB,,1.0,
22.0,2.505396802909175,computer,MTB,,3.0,
23.0,2.1892768501371784,computer,MTB,,2.0,
24.0,0.3066754421223629,computer,MTB,,2.0,
25.0,1.6587559390318019,computer,MTB,,1.0,
26.0,1.684396483908263,computer,MTB,,2.0,
27.0,1.1918344737064128,computer,MTB,,2.0,
28.0,2.757778350750553,computer,MTB,,2.0,
29.0,0.9538444965203393,computer,MTB,,3.0,
30.0,2.8562933933063466,computer,MTB,,2.0,
31.0,0.1099866361838977,computer,MTB,,2.0,
32.0,2.484673060829386,computer,MTB,,1.0,
33.0,1.7742841972698482,computer,MTB,,3.0,
34.0,1.0213614053486655,computer,MTB,,3.0,
35.0,3.4666055303849608,computer,MTB,,2.0,
36.0,3.873888657167358,computer,MTB,,3.0,
37.0,3.478110350255018,computer,MTB,,3.0,
38.0,1.2923763214281552,computer,MTB,,2.0,
39.0,2.559945894804223,computer,MTB,,2.0,
40.0,3.0267788033043415,computer,MTB,,3.0,
41.0,2.065113657778921,computer,MTB,,2.0,
42.0,1.6864902372821324,computer,MTB,,2.0,
43.0,2.7012970307221265,computer,MTB,,2.0,
44.0,2.035755656401478,computer,MTB,,2.0,
45.0,2.1129161027250993,computer,MTB,,3.0,
46.0,0.7047442745614433,computer,MTB,,2.0,
47.0,2.383504138074581,computer,MTB,,3.0,
48.0,2.1372682499075797,computer,MTB,,3.0,
49.0,1.1614447915997355,computer,MTB,,2.0,
50.0,5.7076290800842395,computer,MTB,,2.0,
51.0,3.010977607957394,computer,MTB,,3.0,
52.0,3.956062471729486,computer,MTB,,2.0,
53.0,1.0996020693584871,computer,MTB,,2.0,
54.0,2.027820478793616,computer,MTB,,3.0,
55.0,4.3167045400970885,computer,MTB,,2.0,
56.0,3.2136594747925074,computer,MTB,,2.0,
57.0,4.197391725347079,computer,MTB,,2.0,
58.0,2.3786739879800347,computer,MTB,,2.0,
59.0,2.932415730867962,computer,MTB,,2.0,
60.0,1.6118947404719963,computer,MTB,,3.0,
61.0,1.7832518164908333,computer,MTB,,2.0,
62.0,1.593674905288013,computer,MTB,,3.0,
63.0,0.8711322285206052,computer,MTB,,2.0,
64.0,2.370102272655464,computer,MTB,,2.0,
65.0,3.791832065425171,computer,MTB,,2.0,
66.0,1.4292884787483864,computer,MTB,,3.0,
67.0,2.169590303234549,computer,MTB,,2.0,
68.0,2.0836296367545453,computer,MTB,,2.0,
70.0,2.994618385053357,computer,MTB,,2.0,
71.0,3.2358467253684395,computer,MTB,,1.0,
72.0,1.5083426579302697,computer,MTB,,2.0,
74.0,2.8036150740891235,computer,MTB,,2.0,
75.0,3.192305348424418,computer,MTB,,3.0,
77.0,2.3453572982823503,computer,MTB,,2.0,
78.0,1.0297254234835744,computer,MTB,,1.0,
79.0,1.189049694422564,computer,MTB,,1.0,
80.0,1.2474524062022523,computer,MTB,,1.0,
81.0,1.879953010808791,computer,MTB,,2.0,
82.0,2.5996107619343127,computer,MTB,,1.0,
83.0,3.7167483198422766,computer,MTB,,2.0,
84.0,2.5707115212516136,computer,MTB,,2.0,
85.0,1.1596626920310231,computer,MTB,,3.0,
86.0,2.3086949390925393,computer,MTB,,2.0,
87.0,1.5151591521608525,computer,MTB,,2.0,
88.0,3.891237322551405,computer,MTB,,1.0,
89.0,2.5135890729863353,computer,MTB,,3.0,
90.0,2.781093573827033,computer,MTB,,1.0,
91.0,3.8567949990040287,computer,MTB,,2.0,
92.0,1.0213178020904192,computer,MTB,,1.0,
93.0,2.8158301657734133,computer,MTB,,2.0,
94.0,1.6180483446486023,computer,MTB,,1.0,
95.0,3.7156707860090226,computer,MTB,,2.0,
96.0,3.3706074855559702,computer,MTB,,3.0,
97.0,2.2156615580487147,computer,MTB,,1.0,
98.0,1.456282844003786,computer,MTB,,1.0,
99.0,0.4831357908864445,computer,MTB,,2.0,
100.0,2.4637390542081072,computer,MTB,,3.0,
101.0,1.3051387639008192,computer,MTB,,2.0,
102.0,2.8905601645944645,computer,MTB,,2.0,
103.0,1.4929637564199534,computer,MTB,,2.0,
104.0,1.1662032558857225,computer,MTB,,3.0,
105.0,4.692591777093011,computer,MTB,,2.0,
106.0,2.139378223412594,computer,MTB,,1.0,
107.0,3.8947778172139236,computer,MTB,,1.0,
108.0,1.1207026827646605,computer,MTB,,2.0,
109.0,3.6872996378908227,computer,MTB,,2.0,
110.0,1.6712102910683366,computer,MTB,,2.0,
111.0,4.910500086753413,computer,MTB,,2.0,
112.0,1.6011031883505116,computer,MTB,,1.0,
113.0,2.5622924218419283,computer,MTB,,3.0,
114.0,2.239360698428878,computer,MTB,,2.0,
115.0,3.1011212554482386,computer,MTB,,2.0,
116.0,3.2532380911647696,computer,MTB,,2.0,
117.0,2.6331678590413605,computer,MTB,,1.0,
118.0,2.8743527993385998,computer,MTB,,2.0,
119.0,1.349640735104834,computer,MTB,,2.0,
120.0,2.6919692347053035,computer,MTB,,3.0,
121.0,2.1602288715389713,computer,MTB,,2.0,
122.0,5.4635330557008395,computer,MTB,,2.0,
123.0,1.1117309533681703,computer,MTB,,1.0,
124.0,2.5360495176363735,computer,MTB,,3.0,
125.0,2.754621005912871,computer,MTB,,2.0,
126.0,1.3248137261850077,computer,MTB,,2.0,
127.0,2.6842120650269115,computer,MTB,,2.0,
128.0,1.5283872830737344,computer,MTB,,2.0,
129.0,2.0563270057157017,computer,MTB,,1.0,
130.0,3.5893643645988345,computer,MTB,,2.0,
131.0,2.623182373551507,computer,MTB,,1.0,
132.0,0.795029962523952,computer,MTB,,2.0,
133.0,2.386036167432634,computer,MTB,,2.0,
134.0,3.9215087383864256,computer,MTB,,1.0,
135.0,3.3744581883262397,computer,MTB,,1.0,
136.0,1.003227012891555,computer,MTB,,1.0,
137.0,1.9845653013039726,computer,MTB,,2.0,
138.0,2.96198455943374,computer,MTB,,1.0,
139.0,2.1855533214371525,computer,MTB,,1.0,
140.0,0.646411355798229,computer,MTB,,1.0,
141.0,1.4264562903275446,computer,MTB,,2.0,
142.0,5.156898713246802,computer,MTB,,2.0,
143.0,3.4056549809063412,computer,MTB,,2.0,
144.0,2.669745893310514,computer,MTB,,2.0,
145.0,0.9109074638373237,computer,MTB,,2.0,
146.0,1.5511060273249888,computer,MTB,,2.0,
147.0,2.897369715136392,computer,MTB,,1.0,
148.0,2.527272753682987,computer,MTB,,2.0,
149.0,2.4221103280232885,computer,MTB,,2.0,
150.0,3.7856214812382363,computer,MTB,,1.0,
151.0,1.095379449517197,computer,MTB,,2.0,
152.0,2.90318080264908,computer,MTB,,2.0,
153.0,1.992706278677932,computer,MTB,,1.0,
154.0,3.5160649980969754,computer,MTB,,2.0,
155.0,2.786560659311793,computer,MTB,,2.0,
156.0,4.208674048490472,computer,MTB,,3.0,
157.0,2.9445111951028076,computer,MTB,,3.0,
158.0,2.0081562682000484,computer,MTB,,3.0,
159.0,2.7840540170302566,computer,MTB,,2.0,
160.0,3.6298521023747865,computer,MTB,,2.0,
161.0,2.3305305164273404,computer,MTB,,2.0,
162.0,0.8851410785634812,computer,MTB,,1.0,
163.0,1.552769779139406,computer,MTB,,1.0,
164.0,2.0388376172205867,computer,MTB,,3.0,
165.0,2.2932899163288183,computer,MTB,,2.0,
166.0,3.3048902869376784,computer,MTB,,2.0,
167.0,0.3076818171078139,computer,MTB,,1.0,
168.0,2.523620597475391,computer,MTB,,2.0,
170.0,1.4055641403480377,computer,MTB,,1.0,
171.0,3.17911937337774,computer,MTB,,3.0,
172.0,2.9016568545268746,computer,MTB,,3.0,
173.0,1.2362804114313748,computer,MTB,,3.0,
174.0,2.9634062541474453,computer,MTB,,3.0,
175.0,4.125816541651881,computer,MTB,,1.0,
176.0,2.82930221945338,computer,MTB,,3.0,
177.0,1.8181199891788014,computer,MTB,,1.0,
178.0,1.9194442319822753,computer,MTB,,2.0,
179.0,1.2147169261939479,computer,MTB,,2.0,
180.0,2.529588402953997,computer,MTB,,2.0,
181.0,1.949840081380097,computer,MTB,,1.0,
182.0,2.1375711633935985,computer,MTB,,2.0,
183.0,1.4166983602223375,computer,MTB,,3.0,
184.0,2.881572738655631,computer,MTB,,1.0,
185.0,1.5955793834129848,computer,MTB,,2.0,
186.0,1.225391719374755,computer,MTB,,2.0,
187.0,3.5357789124745995,computer,MTB,,2.0,
188.0,1.0270685245176627,computer,MTB,,1.0,
189.0,2.5145898804620197,computer,MTB,,3.0,
